"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","UI Mocking","0","0","Mocking Login Script","0"
"0","","0","GraphQL API","1","0","Query Songs","0"
"5","","0","Shopping Cart","0","0","As a logged-in user, I can add a product to my cart","0"
"1","","0","Shopping Cart","0","0","As a logged-in user, I can add all products to my cart","0"
"1","","0","Shopping Cart","0","0","As a logged-in user, I can remove a product from my cart","0"
"1","","0","Authentication","0","0","As a user, I see an error when I use invalid credentials","0"
"0","","0","API: Employees","2","0","Get Employees","0"
"0","","0","API: Employees POST","4","0","Create Employees - Negative Scenarios","0"
"0","","0","API: Employees","1","0","Get All Employees","0"
"0","","0","API: Employees POST","1","0","Create Employees","0"
"1","","0","Shopping Cart","0","0","As a logged-in user, I want to see a failed test with a screenshot","0"
"1","","0","Authentication","0","0","As a user, I can log in with correct credentials","0"
